date	name	return
2026-06-30T00:00:00	Indexed Stable	0.8300
2026-06-30T00:00:00	Stable	1.4300
2026-06-30T00:00:00	Conservative	1.7800
2026-06-30T00:00:00	SRI - Balanced	1.0400
2026-06-30T00:00:00	Indexed Balanced	1.1600
2026-06-30T00:00:00	Balanced	2.0200
2026-06-30T00:00:00	Growth	2.2800
2026-06-30T00:00:00	Cash	0.3800
2026-06-30T00:00:00	Bonds	0.7400
2026-06-30T00:00:00	Australian Shares	0.3500
2026-06-30T00:00:00	International Shares	3.7500
2026-06-30T00:00:00	International Shares - Indexed	2.9300
2026-06-30T00:00:00	Bonds – Indexed	0.5900
2026-06-30T00:00:00	Australian Shares – Indexed	0.6900
2026-06-30T00:00:00	Defensive	0.8900
2026-06-30T00:00:00	Indexed Defensive	0.6800
2026-06-30T00:00:00	SRI - Defensive	0.6200
2026-06-30T00:00:00	High Growth	2.3100
2026-06-30T00:00:00	Indexed High Growth	1.4200
2026-06-30T00:00:00	SRI - High Growth	1.4000
2026-06-30T00:00:00	Indexed Growth 	1.2500
2026-06-30T00:00:00	Indexed Conservative	0.9800
2026-06-30T00:00:00	Indexed Stable	0.8300
2026-05-31T00:00:00	Stable	1.2900
2026-05-31T00:00:00	Conservative	1.9100
2026-05-31T00:00:00	SRI - Balanced	1.6700
2026-05-31T00:00:00	Indexed Balanced	2.5800
2026-05-31T00:00:00	Balanced	2.3600
2026-05-31T00:00:00	Growth	2.9700
2026-05-31T00:00:00	Cash	0.3400
2026-05-31T00:00:00	Bonds	0.9200
2026-05-31T00:00:00	Australian Shares	1.3900
2026-05-31T00:00:00	International Shares	5.7700
2026-05-31T00:00:00	International Shares - Indexed	4.1900
2026-05-31T00:00:00	Bonds – Indexed	0.9000
2026-05-31T00:00:00	Australian Shares – Indexed	1.1100
2026-05-31T00:00:00	Defensive	0.9000
2026-05-31T00:00:00	Indexed Defensive	0.8800
2026-05-31T00:00:00	SRI - Defensive	0.7700
2026-05-31T00:00:00	High Growth	3.4700
2026-05-31T00:00:00	Indexed High Growth	3.1500
2026-05-31T00:00:00	SRI - High Growth	2.4100
2026-05-31T00:00:00	Indexed Growth 	3.0000
2026-05-31T00:00:00	Indexed Conservative	1.9700
2026-05-31T00:00:00	Indexed Stable	1.5000
2026-05-31T00:00:00	Stable	1.2900
2026-05-31T00:00:00	Conservative	1.9100
2026-05-31T00:00:00	SRI - Balanced	1.6700
2026-05-31T00:00:00	Indexed Balanced	2.5800
2026-05-31T00:00:00	Balanced	2.3600
2026-05-31T00:00:00	Growth	2.9700
2026-05-31T00:00:00	Cash	0.3400
2026-05-31T00:00:00	Bonds	0.9200
2026-05-31T00:00:00	Australian Shares	1.3900
2026-05-31T00:00:00	International Shares	5.7700
2026-05-31T00:00:00	International Shares - Indexed	4.1900
2026-05-31T00:00:00	Bonds – Indexed	0.9000
2026-05-31T00:00:00	Australian Shares – Indexed	1.1100
2026-05-31T00:00:00	Defensive	0.9000
2026-05-31T00:00:00	Indexed Defensive	0.8800
2026-05-31T00:00:00	SRI - Defensive	0.7700
2026-05-31T00:00:00	High Growth	3.4700
2026-05-31T00:00:00	Indexed High Growth	3.1500
2026-05-31T00:00:00	SRI - High Growth	2.4100
2026-05-31T00:00:00	Indexed Growth 	3.0000
2026-05-31T00:00:00	Indexed Conservative	1.9700
2026-05-31T00:00:00	Indexed Stable	1.5000
2026-04-30T00:00:00	Stable	1.0300
2026-04-30T00:00:00	Conservative	1.6200
2026-04-30T00:00:00	SRI - Balanced	2.7500
2026-04-30T00:00:00	Indexed Balanced	3.3400
2026-04-30T00:00:00	Balanced	2.0100
2026-04-30T00:00:00	Growth	2.6000
2026-04-30T00:00:00	Cash	0.3400
2026-04-30T00:00:00	Bonds	0.2800
2026-04-30T00:00:00	Australian Shares	2.1300
2026-04-30T00:00:00	International Shares	4.1600
2026-04-30T00:00:00	International Shares - Indexed	4.2800
2026-04-30T00:00:00	Bonds – Indexed	0.2000
2026-04-30T00:00:00	Australian Shares – Indexed	2.0400
2026-04-30T00:00:00	Defensive	0.6800
2026-04-30T00:00:00	Indexed Defensive	0.8700
2026-04-30T00:00:00	SRI - Defensive	0.8700
2026-04-30T00:00:00	High Growth	2.8900
2026-04-30T00:00:00	Indexed High Growth	4.2100
2026-04-30T00:00:00	SRI - High Growth	3.8900
2026-04-30T00:00:00	Indexed Growth 	3.9800
2026-04-30T00:00:00	Indexed Conservative	2.4200
2026-04-30T00:00:00	Indexed Stable	1.6500
2026-04-30T00:00:00	Stable	1.0300
2026-04-30T00:00:00	Conservative	1.6200
2026-04-30T00:00:00	SRI - Balanced	2.7500
2026-04-30T00:00:00	Indexed Balanced	3.3400
2026-04-30T00:00:00	Balanced	2.0100
2026-04-30T00:00:00	Growth	2.6000
2026-04-30T00:00:00	Cash	0.3400
2026-04-30T00:00:00	Bonds	0.2800
2026-04-30T00:00:00	Australian Shares	2.1300
2026-04-30T00:00:00	International Shares	4.1600
2026-04-30T00:00:00	International Shares - Indexed	4.2800
2026-04-30T00:00:00	Bonds – Indexed	0.2000
2026-04-30T00:00:00	Australian Shares – Indexed	2.0400
2026-04-30T00:00:00	Defensive	0.6800
2026-04-30T00:00:00	Indexed Defensive	0.8700
2026-04-30T00:00:00	SRI - Defensive	0.8700
2026-04-30T00:00:00	High Growth	2.8900
2026-04-30T00:00:00	Indexed High Growth	4.2100
2026-04-30T00:00:00	SRI - High Growth	3.8900
2026-04-30T00:00:00	Indexed Growth 	3.9800
2026-04-30T00:00:00	Indexed Conservative	2.4200
2026-04-30T00:00:00	Indexed Stable	1.6500
2026-03-31T00:00:00	Stable	-1.5500
2026-03-31T00:00:00	Conservative	-2.5500
2026-03-31T00:00:00	SRI - Balanced	-3.1700
